Amount,Date,Sender,Recipient,Note
-30.08,2018-02-06T01:00:00.000Z,Kelsi Burt,Adam Sanders,Drinks on Saturday 🍕🍗
48.8,2018-02-06T01:00:00.000Z,,Mercedes Benz Stadium,Travel
57.2,2018-02-07T01:00:00.000Z,,ConEd,Phone/Cable
62.9,2018-02-07T01:00:00.000Z,,ConEd,Dining
10.68,2018-02-08T01:00:00.000Z,,Tm *atlanta Hawks,Merchandise
17.64,2018-02-08T01:00:00.000Z,,Qt 761 07007610,Travel
15.21,2018-02-09T01:00:00.000Z,,Chevron 0302330,Dining
-46.63,2018-02-09T01:00:00.000Z,Kelsi Burt,Adam Sanders,Drinks on Thursday 🍐🍑
45.23,2018-02-10T01:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
72.2,2018-02-10T01:00:00.000Z,,Sq *dsk Brooklyn,Health Care
66.76,2018-02-11T01:00:00.000Z,,Victory Sandwich Bar - De,Other Services
-38.27,2018-02-11T01:00:00.000Z,Yousef Walls,Adam Sanders,Drinks on Tuesday 🥔🥵
57.09,2018-02-12T01:00:00.000Z,,Exxonmobil 48085070,Phone/Cable
59.4,2018-02-12T01:00:00.000Z,,Ookook Korean Bbq,Other Services
80.14,2018-02-13T01:00:00.000Z,,Publix #719,Other Services
-7.41,2018-02-13T01:00:00.000Z,Murtaza Becker,Adam Sanders,Breakfast on Sunday 🍅🌯
93.24,2018-02-14T01:00:00.000Z,,Gu's Dumplings,Travel
73.67,2018-02-14T01:00:00.000Z,,Ookook Korean Bbq,Phone/Cable
78.09,2018-02-15T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
11.99,2018-02-15T01:00:00.000Z,Adam Sanders,Jadene Holding,Breakfast on Sunday 🥵🍳
-98.31,2018-02-16T01:00:00.000Z,Abdurahman Fox,Adam Sanders,Breakfast on Wednesday 🤯🥭
55.77,2018-02-16T01:00:00.000Z,,Publix #719,Health Care
-71.54,2018-02-17T01:00:00.000Z,Cory Maguire,Adam Sanders,Groceries on Thursday 🥕🧆
69.8,2018-02-17T01:00:00.000Z,Adam Sanders,Jamal Cole,Breakfast on Saturday 🧇🤟
27.35,2018-02-18T01:00:00.000Z,,Bp#1658533discount Zone,Dining
62.09,2018-02-18T01:00:00.000Z,Adam Sanders,Malachi Cannon,Drinks on Tuesday 🥭🥳
27.47,2018-02-19T01:00:00.000Z,,Bar Taco Inman Park,Dining
51.5,2018-02-19T01:00:00.000Z,,Tom's Dim Sum,Travel
85.64,2018-02-20T01:00:00.000Z,,Mta*metrocard Machine,Dining
47.96,2018-02-20T01:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
-55,2018-02-21T01:00:00.000Z,Norman Liu,Adam Sanders,Breakfast on Friday 🥕🍎
38.67,2018-02-21T01:00:00.000Z,Adam Sanders,Camden Merritt,Breakfast on Wednesday 🍋🥑
-75.38,2018-02-22T01:00:00.000Z,Shaurya Horne,Adam Sanders,Brunch on Monday 👻🥳
34.76,2018-02-22T01:00:00.000Z,,Amagansett Supersav,Phone/Cable
42.03,2018-02-23T01:00:00.000Z,Adam Sanders,Todd Mcmillan,Snacks on Tuesday 🥥🍋
8.59,2018-02-23T01:00:00.000Z,,Mercedes Benz Stadium,Dining
31.11,2018-02-24T01:00:00.000Z,,Trader Joe's #539 Qps,Dining
81.16,2018-02-24T01:00:00.000Z,,Minero Restaurant,Health Care
43.2,2018-02-25T01:00:00.000Z,,Publix #719,Phone/Cable
56.4,2018-02-25T01:00:00.000Z,,Bp#1658533discount Zone,Phone/Cable
73.96,2018-02-26T01:00:00.000Z,,Ingles Gas Exp #133,Health Care
-92.81,2018-02-26T01:00:00.000Z,Aiysha Fleming,Adam Sanders,Brunch on Saturday 🧇🥔
86.72,2018-02-27T01:00:00.000Z,,Mezcalitos Group L,Other Services
25.37,2018-02-27T01:00:00.000Z,,ConEd,Travel
38.59,2018-02-28T01:00:00.000Z,,Fellini's Pizza-buckhe,Merchandise
-29.01,2018-02-28T01:00:00.000Z,Courtnie Mccarty,Adam Sanders,Snacks on Saturday 😍👻
88.52,2018-03-01T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
27.93,2018-03-01T01:00:00.000Z,Adam Sanders,Theodor Larson,Breakfast on Sunday 🌯🤟
26.84,2018-03-02T01:00:00.000Z,,Amazon Mktplace Pmts Www.,Dining
71.04,2018-03-02T01:00:00.000Z,,9640 Amc Online,Travel
83.01,2018-03-03T01:00:00.000Z,,Bp#1721828ck 2211932,Travel
15.14,2018-03-03T01:00:00.000Z,,Bp#4979753speaks #106,Dining
-10.22,2018-03-04T01:00:00.000Z,Aarron Timms,Adam Sanders,Drinks on Friday 🥓🥒
80.7,2018-03-04T01:00:00.000Z,,ConEd,Dining
4.24,2018-03-05T01:00:00.000Z,,Megabus.com,Health Care
63.43,2018-03-05T01:00:00.000Z,,Best Buy 00006098,Travel
54.07,2018-03-06T01:00:00.000Z,,Publix #719,Phone/Cable
21.02,2018-03-06T01:00:00.000Z,Adam Sanders,Jo Pena,Snacks on Thursday 🌮🍓
6.8,2018-03-07T01:00:00.000Z,Adam Sanders,Todd Mcmillan,Dinner on Thursday 🙏🥵
87.41,2018-03-07T01:00:00.000Z,Adam Sanders,Missy Hulme,Tickets on Thursday 🍕🍋
83.8,2018-03-08T01:00:00.000Z,,Uber Trip I35az,Travel
-64.93,2018-03-08T01:00:00.000Z,Paula Gallagher,Adam Sanders,Tickets on Monday 🍆🍐
26.92,2018-03-09T01:00:00.000Z,Adam Sanders,Anthony Palacios,Brunch on Saturday 🧅👻
-14.23,2018-03-09T01:00:00.000Z,Tyriq Chavez,Adam Sanders,Groceries on Tuesday 🍑🤟
-87.31,2018-03-10T01:00:00.000Z,Nafeesa Mitchell,Adam Sanders,Breakfast on Wednesday 🍳🍋
11.35,2018-03-10T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
22.26,2018-03-11T01:00:00.000Z,,Mezcalitos Group L,Merchandise
44.3,2018-03-11T01:00:00.000Z,,Mta*metrocard Machine,Merchandise
-60.2,2018-03-12T00:00:00.000Z,Anthony Palacios,Adam Sanders,Drinks on Monday 🤩🙏
50.83,2018-03-12T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
89.47,2018-03-13T00:00:00.000Z,,Sunoco 0718764400,Travel
19.76,2018-03-13T00:00:00.000Z,,ConEd,Health Care
42.9,2018-03-14T00:00:00.000Z,Adam Sanders,Leen Mcgrath,Breakfast on Friday 🤑🥖
-56.37,2018-03-14T00:00:00.000Z,Theo Freeman,Adam Sanders,Breakfast on Thursday 🍑🤯
1.09,2018-03-15T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
23.42,2018-03-15T00:00:00.000Z,,Exxonmobil 48085070,Travel
45.22,2018-03-16T00:00:00.000Z,,Exxonmobil 97303341,Other Services
58.47,2018-03-16T00:00:00.000Z,,Victory Sandwich Bar - De,Merchandise
44.4,2018-03-17T00:00:00.000Z,,Amagansett Supersav,Health Care
-7.22,2018-03-17T00:00:00.000Z,Sara Harrington,Adam Sanders,Drinks on Sunday 🌮🤐
59.46,2018-03-18T00:00:00.000Z,,Gu's Dumplings,Travel
21.49,2018-03-18T00:00:00.000Z,,Tm *atlanta Hawks,Travel
-40.91,2018-03-19T00:00:00.000Z,Oran Crane,Adam Sanders,Snacks on Thursday 🌶🍠
77.48,2018-03-19T00:00:00.000Z,,Playstationnetwork,Dining
-94.92,2018-03-20T00:00:00.000Z,Nafeesa Mitchell,Adam Sanders,Dinner on Saturday 🍇🥚
6.53,2018-03-20T00:00:00.000Z,Adam Sanders,Cory Maguire,Breakfast on Wednesday 🥝🧄
80.31,2018-03-21T00:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
-31.74,2018-03-21T00:00:00.000Z,Gemma Avery,Adam Sanders,Tickets on Tuesday 🥕🥔
54.51,2018-03-22T00:00:00.000Z,,Ton Ton,Other Services
70.35,2018-03-22T00:00:00.000Z,Adam Sanders,Kitty John,Dinner on Monday 🍞🥞
58.6,2018-03-23T00:00:00.000Z,,Publix #719,Other Services
57.26,2018-03-23T00:00:00.000Z,,Sunoco 0718764400,Phone/Cable
-73.62,2018-03-24T00:00:00.000Z,Abdurahman Fox,Adam Sanders,Dinner on Sunday 🤩🥯
38.05,2018-03-24T00:00:00.000Z,,Publix #719,Phone/Cable
53.86,2018-03-25T00:00:00.000Z,,Wagaya,Dining
91.98,2018-03-25T00:00:00.000Z,,Mirch Masala,Phone/Cable
-89.03,2018-03-26T00:00:00.000Z,Kitty John,Adam Sanders,Groceries on Tuesday ⛄️😍
-11.68,2018-03-26T00:00:00.000Z,Aarron Timms,Adam Sanders,Lunch on Thursday 🍋🍈
-63.42,2018-03-27T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Groceries on Friday 🧀🥞
-75.6,2018-03-27T00:00:00.000Z,Leen Mcgrath,Adam Sanders,Tickets on Friday 🌶🥪
14.49,2018-03-28T00:00:00.000Z,,Mta*metrocard Machine,Travel
65.72,2018-03-28T00:00:00.000Z,,Record Stop Chs,Dining
54.11,2018-03-29T00:00:00.000Z,,Anticos Pizza,Dining
-18,2018-03-29T00:00:00.000Z,Jo Pena,Adam Sanders,Breakfast on Wednesday 🌶🥓
57.06,2018-03-30T00:00:00.000Z,,Amagansett Supersav,Phone/Cable
7.63,2018-03-30T00:00:00.000Z,,Publix #719,Dining
83,2018-03-31T00:00:00.000Z,,Publix #719,Other Services
74.73,2018-03-31T00:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
74.53,2018-04-01T00:00:00.000Z,,Ton Ton,Other Services
55.27,2018-04-01T00:00:00.000Z,,Trader Joe's #539 Qps,Health Care
40.99,2018-04-02T00:00:00.000Z,,ConEd,Other Services
15.37,2018-04-02T00:00:00.000Z,Adam Sanders,Adil Smart,Lunch on Sunday 🍖🧄
96.49,2018-04-03T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
7.41,2018-04-03T00:00:00.000Z,,Publix #719,Phone/Cable
21.01,2018-04-04T00:00:00.000Z,,Mirch Masala,Travel
-67.1,2018-04-04T00:00:00.000Z,Anthony Palacios,Adam Sanders,Lunch on Monday 🍟🥭
-68.71,2018-04-05T00:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Tickets on Tuesday 🥪🌮
47.52,2018-04-05T00:00:00.000Z,,Mta*metrocard Machine,Other Services
31.06,2018-04-06T00:00:00.000Z,,Comcast Atlanta Cs 1x,Dining
10.88,2018-04-06T00:00:00.000Z,,Uber Trip I35az,Phone/Cable
51.72,2018-04-07T00:00:00.000Z,,Ton Ton,Phone/Cable
31.93,2018-04-07T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Brunch on Monday 🍒🥯
25.41,2018-04-08T00:00:00.000Z,,Harris Teeter #80,Phone/Cable
68.04,2018-04-08T00:00:00.000Z,,Down The Hatch,Health Care
-1.3,2018-04-09T00:00:00.000Z,Carlo Hodge,Adam Sanders,Lunch on Saturday 🥐🧀
25.47,2018-04-09T00:00:00.000Z,,Publix #719,Merchandise
49.47,2018-04-10T00:00:00.000Z,Adam Sanders,Devin Hollis,Lunch on Sunday 😋🌮
42.3,2018-04-10T00:00:00.000Z,,Sq *fifth Hammer Brewing,Merchandise
73.08,2018-04-11T00:00:00.000Z,,Anticos Pizza,Other Services
86.58,2018-04-11T00:00:00.000Z,,CVS,Travel
-17.29,2018-04-12T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Lunch on Friday 🌯🍋
43.9,2018-04-12T00:00:00.000Z,Adam Sanders,Aarron Timms,Drinks on Monday 🥓🥖
9.62,2018-04-13T00:00:00.000Z,,Cvs/pharmacy #02082,Health Care
-12.71,2018-04-13T00:00:00.000Z,Alivia Mackay,Adam Sanders,Breakfast on Sunday 🧈🍓
22.37,2018-04-14T00:00:00.000Z,,Sq *fifth Hammer Brewing,Travel
66.95,2018-04-14T00:00:00.000Z,,CVS,Health Care
74.2,2018-04-15T00:00:00.000Z,,Bp#4979753speaks #106,Phone/Cable
41.94,2018-04-15T00:00:00.000Z,Adam Sanders,Jo Pena,Brunch on Tuesday 👻🤯
90.86,2018-04-16T00:00:00.000Z,Adam Sanders,Norman Liu,Snacks on Thursday 🍞🍗
47.46,2018-04-16T00:00:00.000Z,,Art Bar,Merchandise
79.6,2018-04-17T00:00:00.000Z,,Uber Trip,Dining
5.61,2018-04-17T00:00:00.000Z,,Mercedes Benz Stadium,Travel
30.34,2018-04-18T00:00:00.000Z,,Mezcalitos Group L,Health Care
14.15,2018-04-18T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
97.99,2018-04-19T00:00:00.000Z,,Mta*metrocard Machine,Travel
-91.56,2018-04-19T00:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Dinner on Friday 🍒👌
56,2018-04-20T00:00:00.000Z,Adam Sanders,Omar Nairn,Snacks on Tuesday 👻🥯
46.47,2018-04-20T00:00:00.000Z,Adam Sanders,Jamal Cole,Groceries on Thursday 🥭🍏
23.62,2018-04-21T00:00:00.000Z,Adam Sanders,Dominick Arellano,Groceries on Friday 🍅🥨
62.05,2018-04-21T00:00:00.000Z,,Murphy6761atwalmart,Merchandise
-79.35,2018-04-22T00:00:00.000Z,Dominick Arellano,Adam Sanders,Tickets on Wednesday 🍊🍉
77.4,2018-04-22T00:00:00.000Z,,Spectrum,Merchandise
60.73,2018-04-23T00:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
18.48,2018-04-23T00:00:00.000Z,Adam Sanders,Renae Hutchinson,Breakfast on Wednesday 🥒🤟
26.02,2018-04-24T00:00:00.000Z,,Tm *atlanta United Fc,Health Care
66.72,2018-04-24T00:00:00.000Z,,Music Midtown,Dining
-92.96,2018-04-25T00:00:00.000Z,Norman Liu,Adam Sanders,Groceries on Monday 🥕🥪
22.86,2018-04-25T00:00:00.000Z,Adam Sanders,Shaurya Horne,Dinner on Monday 🍗🌯
44.29,2018-04-26T00:00:00.000Z,Adam Sanders,Devin Hollis,Drinks on Monday 🍓😎
62.13,2018-04-26T00:00:00.000Z,,Publix #282,Merchandise
27.17,2018-04-27T00:00:00.000Z,,Uber Trip I35az,Health Care
45.25,2018-04-27T00:00:00.000Z,Adam Sanders,Adil Smart,Breakfast on Friday 🥭🍟
81.71,2018-04-28T00:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
24.01,2018-04-28T00:00:00.000Z,,Exxonmobil 42181370,Other Services
72.71,2018-04-29T00:00:00.000Z,,Publix #282,Health Care
35.42,2018-04-29T00:00:00.000Z,,Ticketmaster,Health Care
98.8,2018-04-30T00:00:00.000Z,,Taqueria Del Sol Howell,Travel
-92.04,2018-04-30T00:00:00.000Z,Adil Smart,Adam Sanders,Dinner on Saturday 🍎🥨
19.9,2018-05-01T00:00:00.000Z,,Barnes & Noble #1907,Phone/Cable
41.16,2018-05-01T00:00:00.000Z,,Tm *atlanta United Fc,Travel
98.41,2018-05-02T00:00:00.000Z,Adam Sanders,Todd Mcmillan,Breakfast on Sunday 🥥🌯
64.66,2018-05-02T00:00:00.000Z,Adam Sanders,Nabilah Knowles,Tickets on Sunday ⛄️🤐
15.7,2018-05-03T00:00:00.000Z,,Krispy Kreme Dough,Merchandise
-36.42,2018-05-03T00:00:00.000Z,Adil Smart,Adam Sanders,Brunch on Saturday 🥐🍏
68.47,2018-05-04T00:00:00.000Z,,Playstationnetwork,Travel
85.29,2018-05-04T00:00:00.000Z,,Comcast Atlanta Cs 1x,Health Care
34.9,2018-05-05T00:00:00.000Z,,Bull Mccabes,Other Services
36.15,2018-05-05T00:00:00.000Z,,ConEd,Dining
30.25,2018-05-06T00:00:00.000Z,,Tm *atlanta Hawks,Merchandise
44.35,2018-05-06T00:00:00.000Z,,Trader Joe's #539 Qps,Other Services
22.52,2018-05-07T00:00:00.000Z,,Sq *american Whiskey,Travel
93.36,2018-05-07T00:00:00.000Z,,CVS,Phone/Cable
43.48,2018-05-08T00:00:00.000Z,,Music Midtown,Merchandise
43.44,2018-05-08T00:00:00.000Z,,Publix #719,Merchandise
49.44,2018-05-09T00:00:00.000Z,,Barnes & Noble #1907,Merchandise
33.84,2018-05-09T00:00:00.000Z,Adam Sanders,Dominick Arellano,Snacks on Sunday 🤐🍠
7.33,2018-05-10T00:00:00.000Z,Adam Sanders,Oran Crane,Brunch on Tuesday 🧆🥵
6.02,2018-05-10T00:00:00.000Z,,Exxonmobil 48085070,Other Services
86.72,2018-05-11T00:00:00.000Z,,Best In Class Barber Shop,Phone/Cable
13.33,2018-05-11T00:00:00.000Z,,Amagansett Supersav,Other Services
65.22,2018-05-12T00:00:00.000Z,,Publix #719,Travel
7.86,2018-05-12T00:00:00.000Z,Adam Sanders,Tyrell Padilla,Lunch on Saturday 🥥🥵
40.32,2018-05-13T00:00:00.000Z,,Victory Sandwich Bar - De,Health Care
68.42,2018-05-13T00:00:00.000Z,,Comcast Atlanta Cs 1x,Merchandise
-21.7,2018-05-14T00:00:00.000Z,Lex Curran,Adam Sanders,Breakfast on Wednesday 🍔🧅
82.7,2018-05-14T00:00:00.000Z,,Tm *atlanta United Fc,Other Services
96.93,2018-05-15T00:00:00.000Z,,ConEd,Phone/Cable
45.58,2018-05-15T00:00:00.000Z,,Victory Sandwich Bar - De,Merchandise
-16.68,2018-05-16T00:00:00.000Z,Arron Thorne,Adam Sanders,Lunch on Saturday 🧅🌭
8.2,2018-05-16T00:00:00.000Z,Adam Sanders,Jo Pena,Lunch on Wednesday 🤟🍒
4.99,2018-05-17T00:00:00.000Z,,Comcast Atlanta Cs 1x,Travel
46.39,2018-05-17T00:00:00.000Z,Adam Sanders,Camron Ramirez,Tickets on Wednesday 🥭🤑
47.05,2018-05-18T00:00:00.000Z,Adam Sanders,Malachi Cannon,Brunch on Monday 🧈🥑
72.39,2018-05-18T00:00:00.000Z,,Ticketmaster,Other Services
25.49,2018-05-19T00:00:00.000Z,Adam Sanders,Cory Maguire,Lunch on Sunday 😎🤠
72.16,2018-05-19T00:00:00.000Z,,Exxonmobil 48085070,Other Services
55.65,2018-05-20T00:00:00.000Z,,Cvs/pharmacy #02082,Dining
13.05,2018-05-20T00:00:00.000Z,Adam Sanders,Oran Crane,Lunch on Thursday 🥞🍍
47.15,2018-05-21T00:00:00.000Z,,Mta*metrocard Machine,Health Care
42.57,2018-05-21T00:00:00.000Z,,ConEd,Other Services
76.93,2018-05-22T00:00:00.000Z,,Bp#1658533discount Zone,Phone/Cable
94.46,2018-05-22T00:00:00.000Z,,Sq *brick+mortar Go,Phone/Cable
-73.68,2018-05-23T00:00:00.000Z,Jamal Cole,Adam Sanders,Brunch on Monday 😎🥪
98.45,2018-05-23T00:00:00.000Z,,Publix #282,Other Services
-77.37,2018-05-24T00:00:00.000Z,Dominick Arellano,Adam Sanders,Drinks on Sunday 🥥😎
77.02,2018-05-24T00:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
98.52,2018-05-25T00:00:00.000Z,,Bp#8247694circle K St 27,Health Care
-39.6,2018-05-25T00:00:00.000Z,Cory Maguire,Adam Sanders,Snacks on Friday 🥕🥞
40.22,2018-05-26T00:00:00.000Z,,Publix #719,Phone/Cable
76.82,2018-05-26T00:00:00.000Z,,Publix #719,Health Care
63.6,2018-05-27T00:00:00.000Z,,Bp#1721828ck 2211932,Phone/Cable
-44.5,2018-05-27T00:00:00.000Z,Tyrell Padilla,Adam Sanders,Breakfast on Tuesday 🍇🌭
18.23,2018-05-28T00:00:00.000Z,Adam Sanders,Cory Maguire,Snacks on Sunday 🤠🤯
27.12,2018-05-28T00:00:00.000Z,,Tom's Dim Sum,Merchandise
48.2,2018-05-29T00:00:00.000Z,,Exxonmobil 48085070,Dining
21.26,2018-05-29T00:00:00.000Z,,Sq *los Tacos Al Pastor,Other Services
59.58,2018-05-30T00:00:00.000Z,,Qt 761 07007610,Merchandise
74.96,2018-05-30T00:00:00.000Z,Adam Sanders,Paula Gallagher,Brunch on Wednesday 🍠🍖
12.67,2018-05-31T00:00:00.000Z,,Bp#Azk12 Azk12,Health Care
41.37,2018-05-31T00:00:00.000Z,,Uber Trip,Phone/Cable
24.27,2018-06-01T00:00:00.000Z,,Ton Ton,Other Services
25.93,2018-06-01T00:00:00.000Z,,Fellini's Pizza-buckhe,Travel
48.16,2018-06-02T00:00:00.000Z,,9640 Amc Online,Travel
-99.17,2018-06-02T00:00:00.000Z,Devin Hollis,Adam Sanders,Groceries on Friday 😎🥕
-25.7,2018-06-03T00:00:00.000Z,Paula Gallagher,Adam Sanders,Brunch on Monday 🍓🤟
47.4,2018-06-03T00:00:00.000Z,Adam Sanders,Camden Merritt,Drinks on Sunday 🍠🍅
11.78,2018-06-04T00:00:00.000Z,Adam Sanders,Jamal Cole,Drinks on Sunday 🍐🌯
-26.44,2018-06-04T00:00:00.000Z,Everett Dalton,Adam Sanders,Breakfast on Saturday 🍖🍋
3.08,2018-06-05T00:00:00.000Z,,Amagansett Supersav,Travel
72.28,2018-06-05T00:00:00.000Z,,Amagansett Supersav,Other Services
47.88,2018-06-06T00:00:00.000Z,,Publix #719,Health Care
44.15,2018-06-06T00:00:00.000Z,,Qt 838 07008386,Dining
32.3,2018-06-07T00:00:00.000Z,Adam Sanders,Cory Maguire,Groceries on Thursday 🧀🍒
29.18,2018-06-07T00:00:00.000Z,Adam Sanders,Malachi Cannon,Snacks on Thursday 🤗🥑
23.64,2018-06-08T00:00:00.000Z,,Atlantic Wines And Liquor,Dining
-23.17,2018-06-08T00:00:00.000Z,Jo Pena,Adam Sanders,Drinks on Wednesday 🧀🥑
1.24,2018-06-09T00:00:00.000Z,,Mta*metrocard Machine,Health Care
-63.27,2018-06-09T00:00:00.000Z,Anthony Palacios,Adam Sanders,Snacks on Monday 🍒🌯
96.64,2018-06-10T00:00:00.000Z,Adam Sanders,Boyd Mcclain,Snacks on Monday 🧆🥳
67.2,2018-06-10T00:00:00.000Z,,Bull Mccabes,Phone/Cable
36.32,2018-06-11T00:00:00.000Z,,Exxonmobil 47449913,Travel
89.7,2018-06-11T00:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
38.06,2018-06-12T00:00:00.000Z,,Playstationnetwork,Dining
20.53,2018-06-12T00:00:00.000Z,,Playstationnetwork,Phone/Cable
28.48,2018-06-13T00:00:00.000Z,,Mta*metrocard Machine,Dining
-41.2,2018-06-13T00:00:00.000Z,Camden Merritt,Adam Sanders,Lunch on Friday 🥞🥒
83.79,2018-06-14T00:00:00.000Z,,Joy Cafe,Other Services
60.57,2018-06-14T00:00:00.000Z,,La Abuela Ii,Travel
-19.86,2018-06-15T00:00:00.000Z,Missy Hulme,Adam Sanders,Breakfast on Thursday 🧀🤟
65.22,2018-06-15T00:00:00.000Z,,Best In Class Barber Shop,Travel
63.34,2018-06-16T00:00:00.000Z,Adam Sanders,Cory Maguire,Brunch on Wednesday 👻🍔
-76.32,2018-06-16T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Snacks on Saturday 🍈😍
58.04,2018-06-17T00:00:00.000Z,,Publix #719,Dining
34.64,2018-06-17T00:00:00.000Z,,Sq *american Whiskey,Merchandise
0.88,2018-06-18T00:00:00.000Z,,Spectrum,Merchandise
0.65,2018-06-18T00:00:00.000Z,,Record Stop Chs,Travel
60.95,2018-06-19T00:00:00.000Z,,Publix #719,Dining
9.9,2018-06-19T00:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
45.26,2018-06-20T00:00:00.000Z,,Tm *atlanta Hawks,Other Services
66.46,2018-06-20T00:00:00.000Z,Adam Sanders,Arron Thorne,Groceries on Monday 🍖🥨
-7.89,2018-06-21T00:00:00.000Z,Omar Nairn,Adam Sanders,Drinks on Friday 🥚🥬
69.76,2018-06-21T00:00:00.000Z,,Mercedes Benz Stadium,Other Services
48.53,2018-06-22T00:00:00.000Z,,Amazon.com*Azk12,Phone/Cable
64.32,2018-06-22T00:00:00.000Z,,Sq *los Tacos Al Pastor,Health Care
79.42,2018-06-23T00:00:00.000Z,,Qt 761 07007610,Merchandise
46.19,2018-06-23T00:00:00.000Z,,Proof Of The Pudding At G,Merchandise
49.4,2018-06-24T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
51.23,2018-06-24T00:00:00.000Z,,Megabus.com,Health Care
-23.99,2018-06-25T00:00:00.000Z,Aiysha Fleming,Adam Sanders,Brunch on Friday 🥬🍎
48.31,2018-06-25T00:00:00.000Z,Adam Sanders,Camron Ramirez,Lunch on Friday 🍅🥓
74,2018-06-26T00:00:00.000Z,,Tuk Tuk Thai Food Loft,Other Services
-57.46,2018-06-26T00:00:00.000Z,Camden Merritt,Adam Sanders,Tickets on Thursday 🥳🥑
86.35,2018-06-27T00:00:00.000Z,Adam Sanders,Courtnie Mccarty,Drinks on Friday 🥭🥥
23.11,2018-06-27T00:00:00.000Z,,Vip Market,Dining
35.35,2018-06-28T00:00:00.000Z,Adam Sanders,Abdurahman Fox,Lunch on Saturday 🍉🥒
23.43,2018-06-28T00:00:00.000Z,,Citgo-metro Food & Gas,Phone/Cable
24.54,2018-06-29T00:00:00.000Z,,CVS,Travel
79.42,2018-06-29T00:00:00.000Z,,Publix #719,Travel
-27.17,2018-06-30T00:00:00.000Z,Tyrell Padilla,Adam Sanders,Groceries on Friday 🍞🍠
82.78,2018-06-30T00:00:00.000Z,,Sq *brick+mortar Go,Phone/Cable
11.96,2018-07-01T00:00:00.000Z,Adam Sanders,Devin Hollis,Snacks on Sunday 🤠🍎
30.9,2018-07-01T00:00:00.000Z,,Megabus.com,Phone/Cable
84.24,2018-07-02T00:00:00.000Z,,Barnes & Noble #1907,Merchandise
26.52,2018-07-02T00:00:00.000Z,,Rosati's Pizza- Buckhead,Dining
78.14,2018-07-03T00:00:00.000Z,Adam Sanders,Shaurya Horne,Snacks on Thursday 🤐🍗
38.8,2018-07-03T00:00:00.000Z,,76 - Gse 76 Los Feliz,Dining
99.15,2018-07-04T00:00:00.000Z,,Amagansett Supersav,Travel
85.86,2018-07-04T00:00:00.000Z,Adam Sanders,Jamal Cole,Drinks on Friday 🍉🍌
-48.52,2018-07-05T00:00:00.000Z,Malachi Cannon,Adam Sanders,Breakfast on Saturday 🌭🍒
62.39,2018-07-05T00:00:00.000Z,,Exxonmobil 97303341,Dining
20.35,2018-07-06T00:00:00.000Z,Adam Sanders,Kitty John,Drinks on Thursday 🥐🍕
33.38,2018-07-06T00:00:00.000Z,,Publix #719,Other Services
83.33,2018-07-07T00:00:00.000Z,,Amazon Mktplace Pmts Www.,Merchandise
79.84,2018-07-07T00:00:00.000Z,,Tm *atlanta United Fc,Merchandise
3.8,2018-07-08T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Dinner on Thursday 🌯🥯
41.66,2018-07-08T00:00:00.000Z,,ConEd,Other Services
85.98,2018-07-09T00:00:00.000Z,,CVS,Other Services
37.56,2018-07-09T00:00:00.000Z,,Playstationnetwork,Merchandise
76.87,2018-07-10T00:00:00.000Z,Adam Sanders,Darcie Ferreira,Brunch on Monday 🥓🌯
-52.52,2018-07-10T00:00:00.000Z,Tyriq Chavez,Adam Sanders,Dinner on Monday 🍠🧄
-48.07,2018-07-11T00:00:00.000Z,Alivia Mackay,Adam Sanders,Snacks on Tuesday 🥨🥖
41.96,2018-07-11T00:00:00.000Z,,Qt 838 07008386,Travel
28.07,2018-07-12T00:00:00.000Z,,Bp#1721828ck 2211932,Dining
81.78,2018-07-12T00:00:00.000Z,,Publix #719,Travel
49.95,2018-07-13T00:00:00.000Z,Adam Sanders,Courtnie Mccarty,Breakfast on Thursday 🍓🥒
47.4,2018-07-13T00:00:00.000Z,Adam Sanders,Adil Smart,Snacks on Sunday 🧆🍊
49.05,2018-07-14T00:00:00.000Z,,Joy Cafe,Travel
